Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 32.66      0.81     0.81  4981243     0.00     0.00  ZB_fillTriangleSmooth
 21.37      1.34     0.53 13599588     0.00     0.00  glopVertex
 17.74      1.78     0.44 13594772     0.00     0.00  gl_shade_vertex
  8.87      2.00     0.22 13594772     0.00     0.00  gl_V3_Norm
  4.03      2.10     0.10 13135834     0.00     0.00  gl_transform_to_viewport
  2.42      2.16     0.06 11694489     0.00     0.00  gl_draw_triangle
  2.42      2.22     0.06   200266     0.00     0.00  Matrix_Inv
  2.02      2.27     0.05     5125     0.01     0.34  glopCallList
  1.21      2.30     0.03  9459830     0.00     0.00  glopNormal
  0.81      2.32     0.02  4904634     0.00     0.00  specbuf_get_buffer
  0.81      2.34     0.02  3107595     0.00     0.00  glNormal3f
  0.81      2.36     0.02     4819     0.00     0.40  gluSphere
  0.81      2.38     0.02      301     0.07     0.07  gl_enable_disable_light
  0.81      2.40     0.02                             glGenLists
  0.40      2.41     0.01 10677706     0.00     0.00  gl_add_op
  0.40      2.42     0.01  4981243     0.00     0.00  gl_draw_triangle_fill
  0.40      2.43     0.01  3349427     0.00     0.00  glTexCoord2f
  0.40      2.44     0.01  3313996     0.00     0.00  glVertex3f
  0.40      2.45     0.01   413610     0.00     0.00  glVertex2f
  0.40      2.46     0.01   192444     0.00     0.00  gl_M4_MulLeft
  0.40      2.47     0.01      301     0.03     0.03  ZB_clear
  0.40      2.48     0.01                             gl_M3_Inv
  0.00      2.48     0.00 11808832     0.00     0.00  glopTexCoord
  0.00      2.48     0.00   803270     0.00     0.00  glopBegin
  0.00      2.48     0.00   803270     0.00     0.00  glopEnd
  0.00      2.48     0.00   222720     0.00     0.00  normal3f
  0.00      2.48     0.00   201470     0.00     0.00  gl_M4_IsId
  0.00      2.48     0.00   200266     0.00     0.00  gl_M4_Inv
  0.00      2.48     0.00   200266     0.00     0.00  gl_M4_Transpose
  0.00      2.48     0.00   192440     0.00     0.00  gl_M4_Rotate
  0.00      2.48     0.00   192440     0.00     0.00  glopRotate
  0.00      2.48     0.00   168559     0.00     0.00  glBegin
  0.00      2.48     0.00   168559     0.00     0.00  glEnd
  0.00      2.48     0.00   107373     0.00     0.00  glopTranslate
  0.00      2.48     0.00   107144     0.00     0.00  glopMaterial
  0.00      2.48     0.00    52384     0.00     0.00  gl_compile_op
  0.00      2.48     0.00    50704     0.00     0.00  glMaterialfv
  0.00      2.48     0.00    44511     0.00     0.00  glRotatef
  0.00      2.48     0.00    26785     0.00     0.00  glopColor
  0.00      2.48     0.00    22741     0.00     0.00  glTranslatef
  0.00      2.48     0.00    22494     0.00     0.00  gl_draw_triangle_clip
  0.00      2.48     0.00    19272     0.00     0.00  clip_xmax
  0.00      2.48     0.00    18108     0.00     0.00  clip_xmin
  0.00      2.48     0.00    17330     0.00     0.00  clip_zmax
  0.00      2.48     0.00    12919     0.00     0.00  glopScale
  0.00      2.48     0.00    12676     0.00     0.00  SetMaterial
  0.00      2.48     0.00    12675     0.00     0.00  glColor3f
  0.00      2.48     0.00    12675     0.00     0.00  glColor4f
  0.00      2.48     0.00     7583     0.00     0.02  Box
  0.00      2.48     0.00     7394     0.00     0.00  clip_ymin
  0.00      2.48     0.00     7223     0.00     0.00  glPushMatrix
  0.00      2.48     0.00     7223     0.00     0.00  gl_M4_Move
  0.00      2.48     0.00     7223     0.00     0.00  glopPushMatrix
  0.00      2.48     0.00     7221     0.00     0.00  glPopMatrix
  0.00      2.48     0.00     7221     0.00     0.00  glopPopMatrix
  0.00      2.48     0.00     6673     0.00     0.00  gluNewQuadric
  0.00      2.48     0.00     5115     0.00     0.00  glCallList
  0.00      2.48     0.00     4816     0.00     0.00  ZB_line_z
  0.00      2.48     0.00     4816     0.00     0.00  gl_draw_line
  0.00      2.48     0.00     2427     0.00     0.00  glScalef
  0.00      2.48     0.00     1807     0.00     0.01  glopEnableDisable
  0.00      2.48     0.00     1506     0.00     0.00  glEnable
  0.00      2.48     0.00     1219     0.00     0.16  gluDisk
  0.00      2.48     0.00     1204     0.00     0.00  gl_M4_Mul
  0.00      2.48     0.00      635     0.00     0.25  gluCylinder
  0.00      2.48     0.00      602     0.00     4.02  LowerLeg
  0.00      2.48     0.00      602     0.00     0.00  glopLight
  0.00      2.48     0.00      494     0.00     0.00  gl_zalloc
  0.00      2.48     0.00      301     0.00     8.06  DrawMech
  0.00      2.48     0.00      301     0.00     0.00  animation_walk
  0.00      2.48     0.00      301     0.00     8.09  display
  0.00      2.48     0.00      301     0.00     0.00  glClear
  0.00      2.48     0.00      301     0.00     0.00  glClearColor
  0.00      2.48     0.00      301     0.00     0.00  glDisable
  0.00      2.48     0.00      301     0.00     0.00  glLightf
  0.00      2.48     0.00      301     0.00     0.00  glLightfv
  0.00      2.48     0.00      301     0.00     0.00  glPolygonMode
  0.00      2.48     0.00      301     0.00     0.00  gl_M4_MulV4
  0.00      2.48     0.00      301     0.00     0.00  gl_get_context
  0.00      2.48     0.00      301     0.00     0.03  glopClear
  0.00      2.48     0.00      301     0.00     0.00  glopClearColor
  0.00      2.48     0.00      301     0.00     0.00  glopPolygonMode
  0.00      2.48     0.00      301     0.00     8.09  idle
  0.00      2.48     0.00      301     0.00     0.02  lighting
  0.00      2.48     0.00      300     0.00     0.00  glFlush
  0.00      2.48     0.00      300     0.00     0.00  glXSwapBuffers
  0.00      2.48     0.00      300     0.00     0.00  tkSwapBuffers
  0.00      2.48     0.00       73     0.00     0.00  gl_V4_New
  0.00      2.48     0.00       48     0.00     0.00  gl_V3_New
  0.00      2.48     0.00       11     0.00     0.00  glLoadIdentity
  0.00      2.48     0.00       11     0.00     0.00  glMatrixMode
  0.00      2.48     0.00       11     0.00     0.00  gl_M4_Id
  0.00      2.48     0.00       11     0.00     0.00  gl_malloc
  0.00      2.48     0.00       11     0.00     0.00  glopLoadIdentity
  0.00      2.48     0.00       11     0.00     0.00  glopMatrixMode
  0.00      2.48     0.00       10     0.00     0.00  glEndList
  0.00      2.48     0.00       10     0.00     0.34  glNewList
  0.00      2.48     0.00        5     0.00     0.00  glViewport
  0.00      2.48     0.00        5     0.00     0.00  glopViewport
  0.00      2.48     0.00        4     0.00     0.00  glFrustum
  0.00      2.48     0.00        4     0.00     0.00  glopFrustum
  0.00      2.48     0.00        4     0.00     0.00  gluPerspective
  0.00      2.48     0.00        4     0.00     0.00  reshape
  0.00      2.48     0.00        3     0.00     0.00  glXWaitX
  0.00      2.48     0.00        3     0.00     0.00  gl_free
  0.00      2.48     0.00        2     0.00     0.04  Octagon
  0.00      2.48     0.00        1     0.00     0.75  Enviro
  0.00      2.48     0.00        1     0.00     0.37  Foot
  0.00      2.48     0.00        1     0.00     0.51  ForeArm
  0.00      2.48     0.00        1     0.00     1.18  MechHip
  0.00      2.48     0.00        1     0.00     0.39  MechTorso
  0.00      2.48     0.00        1     0.00     3.35  RocketPod
